nk_int,nk_tot,file,n_states,medG,medRe,E_res,G_ED,n_ED,z_n,z_medG,z_medRe,z_E_res
150,22500,results/M/resigma_9x9_rc3_nk150.npz,41266,2398.955847699688,725.3711325880591,-1.1158932816712115,248.8062677192226,4,280,439.81714621518347,2329.2560728324534,-0.2843402010923075
300,90000,results/M/resigma_9x9_rc3_nk300.npz,41266,2473.5466012090587,722.2809676139124,-1.2383875085431422,181.9613756564446,4,280,433.98559212816,2347.6130121259316,-0.2843402010923075
450,202500,results/M/resigma_9x9_rc3_nk450.npz,41266,2478.714556135374,716.8664294450143,-1.2383875085431422,174.1456815746435,4,280,443.9300444025161,2341.3443067031376,-0.2843402010923075
600,360000,results/M/resigma_9x9_rc3_nk600.npz,41266,2476.945253617541,718.7925171819547,-1.2454706972452607,172.71075878990706,4,280,444.85048699248875,2340.7666633154104,-0.2843402010923075
