 written on  4Sep2026 at 06:47:43 
   2.1354903421575360       -1.2329259238968218        0.0000000000000000     
   2.1354903421575360        1.2329259238968218        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.875316257699998     
           5
         795
    1    2    1    1    1    1    2    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    2    1    1    1    1    2    1

  -18    9    0
    3    5   -0.30878942E-13 -0.18039811E-12
    4    5    0.76253900E-05 -0.67349425E-12
    5    5   -0.50914476E-05  0.13166768E-12

  -17    8    0
    1    1   -0.35893032E-09 -0.52857024E-14
    2    1   -0.11333765E-09 -0.41962961E-14
    3    1   -0.69626257E-10  0.21240822E-13
    4    1   -0.23353929E-13  0.99430888E-13
    5    1    0.17511321E-12 -0.16734665E-12
    1    2   -0.14359816E-08 -0.24322558E-13
    2    2   -0.10805851E-08 -0.19231144E-13
    3    2    0.81508302E-09 -0.31185991E-13
    4    2   -0.10577000E-12  0.12440168E-12
    5    2    0.31920797E-13 -0.11019674E-12
    1    3    0.30032256E-09 -0.63872518E-14
    2    3    0.73546592E-09 -0.17997756E-14
    3    3   -0.12375684E-08  0.12609705E-13
    4    3    0.12600659E-12  0.24402446E-12
    5    3   -0.80583862E-13 -0.27746092E-12
    1    4    0.50754375E-12 -0.30344533E-12
    2    4   -0.34345715E-12 -0.27971749E-12
    3    4   -0.18599728E-13  0.27142637E-12
    4    4    0.46174097E-05  0.16961185E-11
    5    4   -0.44747324E-05 -0.15646737E-11
    1    5   -0.35703486E-12  0.41310857E-12
    2    5    0.33163432E-12  0.18414671E-12
    3    5    0.39275873E-13  0.10208874E-12
    4    5   -0.23101475E-05 -0.70539581E-12
    5    5    0.46174103E-05  0.15078377E-11

  -17    9    0
    1    1   -0.35901530E-09  0.10789980E-14
    2    1   -0.69616453E-10 -0.27937722E-14
    3    1   -0.11336543E-09 -0.10256553E-13
    4    1    0.37896347E-12 -0.77573958E-13
    5    1   -0.23935889E-12 -0.15670934E-13
    1    2    0.30053741E-09  0.26306214E-13
    2    2   -0.12376630E-08  0.10932227E-13
    3    2    0.73542981E-09  0.21161024E-13
    4    2   -0.73205552E-13  0.13653749E-12
    5    2    0.87418296E-13 -0.10470155E-12
    1    3   -0.14361405E-08  0.83162643E-14
    2    3    0.81518356E-09 -0.46291096E-14
    3    3   -0.10806430E-08  0.19012569E-13
    4    3   -0.82792725E-13 -0.26573756E-12
    5    3   -0.64971173E-13  0.82546943E-13
    1    4   -0.22744983E-12 -0.53123327E-12
    2    4   -0.10141811E-12 -0.18868295E-12
    3    4   -0.94136022E-13  0.11583465E-13
    4    4    0.46174196E-05 -0.47160062E-12
    5    4   -0.84227001E-05 -0.92828002E-12
    1    5    0.47416869E-12  0.54134454E-12
    2    5   -0.12151220E-13  0.15578645E-12
    3    5   -0.56666588E-13  0.63213305E-13
    4    5    0.76253884E-05  0.10932002E-11
    5    5    0.46174194E-05 -0.35943123E-12

  -17   10    0
    1    1   -0.22169858E-08  0.13669621E-13
    2    1    0.79495141E-09  0.14275039E-13
    3    1    0.22295552E-09 -0.21341436E-13
    4    1   -0.11824634E-12 -0.51930974E-14
    5    1   -0.14238133E-12  0.10889817E-13
    1    2   -0.90192881E-09  0.27094646E-13
    2    2   -0.93294093E-09  0.45310977E-14
    3    2    0.81517925E-09 -0.27980222E-13
    4    2    0.76451408E-13  0.15329935E-12
    5    2   -0.21455825E-13 -0.68868318E-13
    1    3    0.12027921E-08  0.10685897E-13
    2    3    0.17448807E-09  0.14402542E-13
    3    3    0.37492078E-10 -0.32539943E-13
    4    3    0.24882441E-12  0.41523428E-12
    5    3    0.12300876E-12  0.24067641E-13
    1    4   -0.11134076E-12 -0.27226147E-12
    2    4   -0.15181147E-12  0.17561315E-12
    3    4    0.33293144E-12 -0.21049898E-13
    4    4   -0.50914347E-05 -0.74202016E-12
    5    4   -0.44747506E-05  0.11183589E-11
    1    5   -0.15342070E-12 -0.15577952E-12
    2    5   -0.86829326E-13 -0.13434963E-12
    3    5   -0.10905549E-12  0.19893704E-12
    4    5   -0.35288682E-05 -0.49691327E-12
    5    5   -0.50914345E-05 -0.80925934E-12

  -17   11    0
    1    1    0.45179660E-10 -0.36776138E-14
    2    1   -0.11077249E-08 -0.62892400E-14
    3    1    0.17456197E-09 -0.86016264E-14
    4    1   -0.96610506E-13 -0.15488993E-12
    5    1    0.62350779E-13  0.34009475E-13
    1    2   -0.11077644E-08  0.11322540E-13
    2    2    0.45187642E-10  0.18381130E-13
    3    2    0.17450045E-09 -0.97239924E-14
    4    2    0.25024095E-12 -0.88116467E-13
    5    2   -0.24400025E-12  0.23848036E-13
    1    3    0.72145028E-10  0.24971344E-14
    2    3    0.72200255E-10  0.36481235E-14
    3    3   -0.13668827E-08 -0.32196468E-14
    4    3    0.54064830E-12 -0.59707064E-13
    5    3   -0.72990241E-12 -0.43671932E-12
    1    4    0.33039564E-12 -0.46698351E-13
    2    4    0.31312085E-12  0.39772672E-13
    3    4   -0.13355412E-12 -0.16386619E-12
    4    4    0.83649639E-05  0.13556443E-11
    5    4    0.64966033E-06  0.71085499E-13
    1    5    0.17231803E-13  0.20432239E-12
    2    5   -0.24406076E-12 -0.42833450E-14
    3    5    0.78360604E-13 -0.16058040E-12
    4    5   -0.13514015E-06 -0.15791882E-11
    5    5    0.83649632E-05  0.10414243E-11

  -16    5    0
    1    1    0.17475793E-08 -0.12132656E-13
    2    1    0.77510104E-10  0.64444977E-15
    3    1    0.13727368E-09 -0.20777650E-13
    4    1    0.11973474E-12 -0.54352146E-13
    5    1    0.70153905E-13  0.52120000E-13
    1    2   -0.63667032E-09  0.30521592E-13
    2    2    0.11023568E-08  0.71886941E-14
    3    2   -0.26379403E-10 -0.12794453E-13
    4    2    0.25897032E-12 -0.51626301E-12
    5    2    0.30147008E-13  0.27185546E-13
    1    3    0.57482869E-09  0.60481134E-14
    2    3   -0.11727173E-08  0.14406878E-14
    3    3    0.76105363E-09  0.10996412E-13
    4    3   -0.25816785E-12  0.31266625E-14
    5    3    0.14750035E-12  0.24805367E-14
    1    4    0.68426841E-13  0.63849355E-12
    2    4   -0.33973233E-12  0.49149904E-12
    3    4   -0.14399829E-12 -0.21209325E-12
    4    4   -0.56437310E-05  0.11026173E-11
    5    4    0.39781007E-05 -0.23168854E-11
    1    5   -0.90853038E-13 -0.37408719E-12
    2    5    0.20690708E-12 -0.13264133E-12
    3    5    0.14922193E-12  0.86320842E-13
    4    5    0.48862325E-05  0.81566698E-13
    5    5   -0.56437308E-05  0.10030867E-11

  -16    6    0
    1    1    0.17479946E-08  0.78270723E-14
    2    1    0.12034647E-08  0.55537172E-14
    3    1   -0.11090938E-08 -0.11350296E-13
    4    1    0.83680772E-12  0.31529971E-12
    5    1   -0.80864365E-12 -0.18810291E-12
    1    2   -0.11393890E-08 -0.24090972E-13
    2    2    0.30499238E-09  0.76674778E-14
    3    2   -0.11727071E-08  0.29603056E-14
    4    2    0.10401752E-12  0.31971817E-13
    5    2   -0.44771655E-13  0.86893275E-13
    1    3   -0.10325534E-08 -0.57436694E-14
    2    3    0.11064891E-08  0.13901207E-13
    3    3   -0.42137085E-10 -0.29505912E-13
    4    3    0.41231915E-12  0.45478695E-12
    5    3    0.21407450E-13 -0.28664058E-12
    1    4   -0.45320660E-13 -0.58664359E-12
    2    4    0.24053656E-12  0.30870892E-12
    3    4   -0.51019554E-12  0.44483388E-13
    4    4    0.22074555E-05 -0.13103325E-11
